brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,Price,rating,Number of Ratings,Number of Reviews
6,1,1,1,8,1,512,0,2,1,0,48990,4,17,3
4,1,1,1,8,1,512,0,2,1,0,54990,4,35,3
6,1,1,0,8,1,512,0,2,1,0,40990,4,118,17
1,1,1,1,8,1,512,0,2,1,0,41990,3,0,0
5,1,1,1,8,1,512,0,2,1,0,54990,4,245,34
1,1,1,1,8,1,512,0,2,1,0,44990,4,2058,305
4,1,1,1,8,1,512,0,2,1,0,41250,4,117,11
4,1,1,1,8,1,512,0,2,1,0,44990,3,0,0
1,1,1,1,8,1,512,0,2,1,0,42990,4,74,11
3,1,1,1,8,1,512,0,2,1,0,60790,4,10,1
4,1,1,1,8,1,512,0,2,1,0,45650,4,39,4
3,1,1,0,8,1,512,0,2,1,0,41990,3,29,7
3,1,1,0,8,1,512,0,2,1,0,45490,4,43,4
1,1,1,1,8,1,512,0,2,1,0,44990,3,0,0
5,1,1,1,8,1,512,0,2,1,0,42990,4,984,99
4,1,1,1,4,1,512,0,2,1,0,45490,4,523,66
4,1,1,0,4,1,512,0,2,0,0,38799,4,30,1
4,1,1,1,4,1,512,0,2,1,0,69267,3,0,0
1,1,1,1,4,1,512,0,2,1,0,51649,3,0,0
4,1,1,1,4,1,512,0,2,1,0,47990,4,1605,215
1,1,1,0,4,1,512,0,2,1,0,40990,4,4008,519
1,1,1,0,4,1,512,0,2,1,0,42990,4,1869,234
1,1,1,1,4,1,512,0,2,1,0,44890,3,7,0
1,1,1,0,4,1,512,0,2,1,0,41490,4,4008,519
4,1,1,1,4,1,512,0,2,0,0,50990,3,0,0
4,1,1,1,4,1,512,0,2,1,0,48900,4,1278,135
1,1,1,0,4,1,512,0,2,1,0,40990,4,4008,519
3,1,1,0,4,1,512,0,2,1,0,41790,3,0,0
5,1,1,1,4,1,512,0,2,1,0,57999,3,10,2
3,1,1,1,8,1,512,0,2,1,0,45930,3,0,0
4,1,1,1,8,1,512,0,2,1,0,55490,4,143,15
1,1,1,0,8,1,0,1024,2,1,0,32890,3,28,4
5,1,1,0,8,1,0,1024,2,1,0,35990,4,2124,233
3,1,1,1,8,1,0,1024,2,1,0,42490,4,276,40
3,1,1,1,8,1,0,1024,2,1,0,42190,3,250,21
3,1,1,0,8,1,0,1024,2,1,0,39490,4,1917,189
4,1,1,1,8,1,0,1024,2,1,0,43690,4,4999,490
1,1,1,0,4,1,0,1024,2,1,0,35990,3,17,0
3,1,1,1,8,1,0,1024,2,0,0,43800,4,17,0
5,1,1,0,8,1,0,1024,2,0,0,38990,3,0,0
1,1,1,0,4,1,0,1024,2,1,0,34990,3,4203,490
1,1,1,1,8,1,0,1024,2,1,0,38900,3,13,0
3,1,1,0,4,1,0,1024,2,1,0,39990,3,15,1
3,1,1,0,4,1,0,1024,2,0,0,40890,4,527,46
5,1,1,0,4,1,0,1024,2,1,0,36990,3,103,10
4,1,1,1,4,1,0,1024,2,1,0,39990,3,324,45
4,1,1,1,4,1,0,1024,2,1,0,41990,4,69,5
3,1,1,1,4,1,0,1024,2,0,0,43970,3,16,0
4,1,1,1,4,1,0,1024,2,1,0,39790,3,40,3
1,1,1,0,4,1,0,1024,2,0,0,35590,3,12,1
4,1,1,0,4,1,0,1024,2,1,0,36490,3,1146,175
1,1,1,0,4,1,0,1024,2,1,0,38990,4,1850,216
1,1,1,0,4,1,0,1024,2,0,0,33990,3,43,7
3,1,1,0,4,1,0,1024,2,1,0,43400,4,231,26
1,1,0,7,4,4,0,512,2,0,0,24990,4,502,93
4,1,1,0,4,1,0,1024,2,1,0,40750,4,1096,116
3,1,1,0,4,1,0,1024,2,1,0,43000,4,313,35
1,1,1,0,4,1,0,1024,2,1,0,38000,4,7,0
3,1,1,1,8,1,0,1024,2,1,0,37990,3,265,46
4,1,1,4,8,1,0,1024,2,1,2,49279,4,38,3
5,1,1,0,8,1,0,1024,2,0,0,38999,3,7,2
1,1,1,1,8,1,0,1024,2,0,0,41500,3,4,0
7,1,1,1,4,1,0,1024,2,0,0,36999,3,0,0
3,1,1,1,8,1,0,1024,2,0,0,42900,3,0,0
1,1,0,7,4,4,0,512,2,0,0,21490,3,818,113
3,1,1,1,8,1,0,1024,2,0,0,41480,3,25,4
1,1,1,0,8,1,0,1024,2,1,0,32990,2,12,0
1,1,1,1,8,1,0,1024,2,1,0,38680,3,17,1
1,1,0,7,4,4,0,512,2,0,0,23990,4,974,170
3,1,1,0,8,1,0,1024,2,1,0,40390,3,83,15
1,1,1,0,4,1,0,1024,2,1,0,33990,3,31,6
1,1,0,7,4,4,0,512,2,0,0,20490,3,637,91
3,1,1,0,8,1,256,1024,2,1,0,41490,5,7,5
3,1,1,1,8,1,256,1024,2,1,0,45490,4,207,16
3,1,1,1,8,1,256,1024,2,1,0,44490,4,844,103
1,1,1,1,8,1,256,1024,2,1,0,41890,4,53,6
3,1,1,1,4,1,256,1024,2,1,0,42990,4,62,7
7,1,1,1,8,1,256,1024,2,1,0,40990,4,38,2
3,1,1,1,8,1,256,1024,2,1,0,48990,4,724,92
3,1,1,1,4,1,256,1024,2,1,0,43590,3,0,0
3,1,1,0,4,1,256,1024,2,1,0,44690,4,9,0
1,1,1,0,4,1,256,1024,2,1,0,40990,3,0,0
3,1,1,1,4,1,256,1024,2,1,0,43990,3,0,0
3,1,1,1,4,1,256,1024,2,1,0,43590,3,0,0
3,1,1,0,4,1,256,1024,2,1,0,41390,4,56,7
3,1,1,0,4,1,256,1024,2,1,0,44290,3,0,0
3,1,1,1,4,1,256,1024,2,1,0,48999,3,0,0
3,1,1,1,4,1,256,1024,2,1,0,39990,3,170,11
3,1,1,0,8,1,256,1024,2,1,0,46390,2,95,5
1,1,0,7,4,4,0,512,2,1,0,18990,3,197,25
1,1,0,7,4,4,0,512,2,0,0,17990,3,1180,148
4,1,0,7,4,1,0,512,2,1,0,26470,3,232,23
4,1,0,7,4,1,0,512,2,1,0,27990,3,596,65
5,1,0,7,4,1,0,1024,2,0,0,29999,3,19,1
5,1,0,7,4,5,0,512,2,1,0,25990,3,84,16
5,1,0,7,4,4,0,512,2,0,0,16990,3,414,54
5,1,0,7,4,4,0,512,2,0,0,24990,2,70,16
7,1,3,7,8,2,0,512,2,0,4,50990,4,10966,1185
7,1,3,7,8,4,0,512,2,0,0,119990,4,1,1
7,1,3,0,8,4,0,512,0,0,0,94190,4,31,6
1,1,3,0,8,4,0,512,0,0,4,106167,4,1881,241
3,1,3,0,8,4,0,512,0,0,4,68090,1,23,4
3,1,3,0,8,4,0,512,0,0,0,139990,3,0,0
4,1,3,0,8,4,0,512,0,0,0,55990,4,818,109
4,1,3,0,8,4,0,512,0,0,4,102551,3,0,0
5,1,3,0,8,4,0,512,0,0,2,46990,4,4428,569
4,1,3,5,8,1,128,0,2,1,0,76012,4,129,16
5,1,3,1,8,1,256,0,2,1,0,49490,4,365,35
7,1,3,4,8,0,256,0,2,1,0,86867,4,39,3
1,1,3,1,8,1,256,0,2,1,0,48990,3,0,0
3,1,3,1,8,1,256,0,2,1,0,55990,3,3,0
7,1,3,5,8,0,256,0,2,1,0,81998,4,14,3
4,1,3,5,8,1,256,0,2,1,0,136590,3,0,0
7,1,3,5,8,1,256,0,2,1,0,59490,3,33,7
1,1,3,1,8,1,256,0,2,1,0,49800,3,0,0
5,1,3,1,8,1,256,0,2,1,0,61999,2,4,0
4,1,3,1,8,1,512,0,2,1,0,54990,4,116,15
4,1,3,1,8,1,512,0,2,1,0,53990,4,206,17
5,1,3,1,8,1,512,0,2,1,0,52990,4,300,24
